French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
heures,hours
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
eau,water
parti,left
nouvelle,new
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
